GEOID,county,Pop,White,Black,Asian,Hispanic
48113007830,113,2371,22.99,11.89,2.53,60.94
48113006402,113,5367,3.58,0.22,0.0,95.75
48113007831,113,2773,14.14,47.06,4.26,33.83
48113007832,113,3106,14.07,11.2,30.46,43.21
48113007833,113,3360,10.65,34.14,0.0,52.17
48113007834,113,2829,22.02,57.3,0.0,17.67
48113007835,113,3014,30.66,42.6,0.0,24.15
48113007902,113,5092,82.4,4.87,2.67,9.07
48113007903,113,1995,82.21,2.56,2.36,8.72
48113007906,113,2087,96.74,1.01,1.05,0.0
48113007909,113,2473,34.33,14.76,30.53,13.83
48113007910,113,3039,49.46,11.45,13.85,16.98
48121021735,121,3775,37.17,23.95,4.98,25.48
48121021736,121,2308,35.57,28.6,13.13,17.85
48121021737,121,5398,36.92,18.6,17.19,24.73
48121021738,121,3296,44.45,22.06,17.81,13.35
48121021739,121,3017,24.43,7.46,9.35,56.81
48121021740,121,5138,40.0,13.39,10.51,30.28
48121021741,121,2328,39.22,23.5,13.66,21.22
48121021742,121,7219,48.73,4.21,12.07,30.42
48121021743,121,3450,42.12,8.43,10.17,38.61
48121021744,121,3511,23.04,0.26,12.08,61.12
48121021745,121,5686,25.2,5.61,6.51,60.64
48121021746,121,4306,76.47,2.79,2.51,15.4
48121021748,121,3859,85.07,0.0,4.51,6.63
48121021749,121,3897,82.35,3.54,2.57,6.16
48121021750,121,5031,68.3,2.39,15.5,8.23
48121021751,121,4724,64.73,9.1,22.16,2.92
48121021752,121,5143,69.28,2.08,18.47,8.01
48121021754,121,4393,81.49,4.01,0.77,12.27
48121021755,121,8133,83.75,0.3,5.86,7.48
48121021756,121,4076,71.76,2.31,16.85,5.81
48121021757,121,3952,75.43,4.15,8.2,6.45
48121021758,121,4063,80.56,2.26,10.66,5.86
48121021759,121,1282,77.22,2.34,5.62,11.7
48121021800,121,4455,78.88,4.42,9.14,5.52
48121021900,121,5500,70.69,3.36,18.4,4.89
48221160217,221,4751,74.87,5.68,2.93,16.52
48221160218,221,4253,84.88,0.0,0.05,12.77
48221160302,221,4690,82.67,0.17,0.38,12.73
48221160303,221,5319,87.59,0.0,0.04,10.53
48439105519,439,4482,74.97,5.78,6.11,11.09
48439105520,439,2217,81.73,1.35,12.27,3.79
48439105600,439,5168,40.5,3.0,0.0,55.79
48439105701,439,4484,47.77,11.8,0.56,37.62
